algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
JADE,tsallis,7,24.930831066498396,2.7601636440968162,0.8588116491649419,0.0251063324130055,0.9918784621093302,0.006935693538812156,0.5457351394354676,0.0068766001148437275,300
JADE,tsallis,9,26.842645767916725,3.1766778852938047,0.887673152936969,0.025707834987394883,0.994260009713663,0.0061599622390017565,0.6076469975158882,0.004941977741307034,300
JADE,tsallis,11,28.091592694029806,3.438861741038546,0.9073519113138258,0.028325792926113917,0.9953111205603322,0.005948960887785301,0.6754228872153908,0.03393585482200968,300
JADE,tsallis,12,28.54279183516773,3.471459918966678,0.9144305740996205,0.02836512428283743,0.995731956761798,0.005490312843775752,0.7051532313988234,0.018306465206283273,300
LADE,kapur,3,19.485055845892877,1.6336630186848349,0.7334480266182474,0.045155808300217176,0.9757613414760357,0.00985313011893276,0.33867555580800396,0.0029763455848634233,300
LADE,kapur,5,22.49447371048808,2.4824487410472313,0.8093428733745884,0.03501675195690396,0.9867922178247437,0.007816888561539528,0.4158366584925291,0.006883483903144654,300
LADE,kapur,7,25.564345451642563,3.493301897429689,0.8466036847867748,0.034606993301184934,0.9921005044018566,0.007768180033559545,0.49172568783396853,0.00782884837217476,300
LADE,kapur,9,28.763271570435577,3.701753547540101,0.8720477352432655,0.030093726029784492,0.9953985203847883,0.007035196638210397,0.5656813496087367,0.008641030753795065,300
LADE,kapur,11,30.29446767321616,3.8152186778347508,0.8925567329770665,0.03066738514236107,0.9964513940659167,0.006305227919585143,0.6386060223790506,0.008376501963340067,300
LADE,kapur,12,31.10095412468819,3.5670981188646103,0.9024149185897528,0.028562880306581585,0.9971423000577073,0.005417951185739514,0.6747984089019398,0.009490956615725733,300
LADE,otsu,3,24.53477276008156,1.1798749067803855,0.7466020469155872,0.03456518317620057,0.9927136850013085,0.001838655677853637,0.3171544283356828,0.003334350106182609,300
LADE,otsu,5,28.20576958003592,1.1448106272765286,0.8425024452681356,0.028560999218475096,0.9968807280169932,0.0007359974050990636,0.3758852473801622,0.0035273259547541325,300
LADE,otsu,7,30.48703944006104,1.163491050021586,0.8861908004190631,0.019374016773727635,0.9981537439910079,0.000449545394733809,0.43510820738427963,0.005634722367920037,300
LADE,otsu,9,32.143119630384774,1.2022602795774173,0.9119522514356546,0.016073366226065547,0.9987378034596704,0.0003106089099600989,0.49452929746359586,0.008616564897462877,300
LADE,otsu,11,33.42551135670748,1.215377854044822,0.9279749684963402,0.014186933374186618,0.9990606266095089,0.0002309417670437145,0.5518624252965674,0.007975260974643603,300
LADE,otsu,12,33.96714653703407,1.2341673940469218,0.9339187951385539,0.01314564567861246,0.9991701869177961,0.0002063136943302433,0.5798744215234183,0.0075310622258551434,300
LADE,tsallis,3,19.960337107527636,1.5144185961425676,0.7379192451351766,0.03838137951334417,0.9784533882012327,0.008550733319596526,0.3419678031893757,0.00401210603557513,300
LADE,tsallis,5,22.364161710304124,2.004319761388884,0.8131536938665378,0.03325281948054743,0.9869083249964556,0.00750491689912107,0.40409191468808175,0.00558283825576555,300
LADE,tsallis,7,24.968175410908316,2.7124162907260128,0.8560631334830446,0.02591548865898219,0.9920014370382544,0.006763235742194157,0.46516801352612674,0.004547951948947659,300
