algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
JADE,tsallis,9,25.11088986031124,1.7170549003887132,0.4683012910368898,0.0835970266375113,0.9933424357696795,0.002672720232873555,1.0861507160144133,0.10418968941888747,450
JADE,tsallis,11,29.135745725905164,3.2668145966731017,0.6638184829597541,0.17086051329211469,0.9968974239641706,0.0019893929032379753,1.2048080647183168,0.18667339650896658,450
JADE,tsallis,12,31.826043722353,3.7113215373128776,0.7741091981047453,0.17139803495262745,0.9981577510488728,0.0014809269690370002,1.2633840327471908,0.18507320014156892,450
LADE,kapur,3,23.92325095073144,3.237843549985469,0.6557216487858292,0.2900638439702747,0.9885177615679959,0.012463745873625965,0.4066846432443708,0.10621718788492085,450
LADE,kapur,5,29.470152170933982,1.0463424468474185,0.915965402859301,0.025126604714369886,0.997671311328114,0.0006135335302601986,0.49994354654827877,0.1327639380084507,450
LADE,kapur,7,32.21285940544809,0.9261504354465627,0.9430791398264268,0.01614855192639211,0.9987724550439623,0.00025458680761147477,0.5958942037205108,0.16473905221188692,450
LADE,kapur,9,33.93288097745649,1.0402588926821488,0.9564043684420607,0.013611043544542827,0.9991694709052892,0.00019375795948441246,0.698719864282757,0.2120408925951525,450
LADE,kapur,11,35.32918415368615,1.0636078417696808,0.9656650830260987,0.011548884385963588,0.9993966454262224,0.00015342364369450555,0.7805456165689975,0.20991368426340698,450
LADE,kapur,12,35.787167312417026,1.0648976388419935,0.96843299654553,0.010729174434390623,0.9994574626593843,0.00013305823414662432,0.8452021353138197,0.2343853751605888,450
LADE,otsu,3,27.87811517991924,0.8904713589928844,0.8607987384408694,0.053877930773685904,0.9966757163170031,0.0006648904500766332,0.3950553962220955,0.10959173160489975,450
LADE,otsu,5,31.28076594691041,0.8933893666502658,0.9282849172142889,0.03447433971672234,0.9984829796576188,0.00029925226649309594,0.46762594944693975,0.12933613072585803,450
LADE,otsu,7,33.42292126596734,0.9364260287874522,0.9532253886838608,0.01890656446278279,0.9990721926204237,0.0001885808370427507,0.5342464481397635,0.13720114252525922,450
LADE,otsu,9,34.991228733337046,0.9464318679272312,0.9652715416698138,0.01137177204927855,0.9993532774269751,0.00013264589466888303,0.6200152312131184,0.15858638403904274,450
LADE,otsu,11,36.27840753580768,0.9626154996214786,0.9719960516708807,0.009219839457174289,0.9995189395467909,9.974479691697331e-05,0.6838113164989692,0.19591731556093303,450
LADE,otsu,12,36.8102789160679,0.9666567875713291,0.9747183239196543,0.008241623061941792,0.9995744025005604,8.812249737145844e-05,0.7053982570250001,0.18541333144813435,450
LADE,tsallis,3,19.226104436152223,1.6401765677608553,0.267725665135355,0.03519285264139639,0.974215154883833,0.010871927026248935,0.4376980175331442,0.12672585229198863,450
LADE,tsallis,5,21.58130266021028,1.1853112723136134,0.3364324578015343,0.05006386757978612,0.9855843667859483,0.0039196753581990165,0.5453188595651752,0.17812502476572986,450
LADE,tsallis,7,23.63388116659625,1.689822456273961,0.4076506030274874,0.07365329320160932,0.990668297813185,0.003662239546516289,0.6123777175948231,0.1766357473625618,450
LADE,tsallis,9,26.383685928796186,2.7951607199262742,0.5370064465630235,0.1481810424911578,0.9944594875733165,0.0033414530625770532,0.6682172548941647,0.18981063163004624,450
LADE,tsallis,11,31.270500169636698,3.5842598781459327,0.7679197672721942,0.18365324339707334,0.9978802481381082,0.0019651235034590297,0.7790420648936803,0.2648338585171447,450
LADE,tsallis,12,32.79822947215544,3.3734381435447585,0.8324723045540021,0.16380590120430194,0.9985025739321004,0.0016017771630341547,0.8073161161328769,0.2642127065052971,450
LSHADE,kapur,3,23.991502255287692,3.2973522027592463,0.66395939972257,0.28868830436767523,0.9885613111317822,0.012563987365714862,0.6656881628770174,0.043002064605809666,450
LSHADE,kapur,5,29.507513558631896,1.0781782850275248,0.9162460599545058,0.025732302734851192,0.9976868307856859,0.000627452644116984,0.7923456324342018,0.008028041319007077,450
LSHADE,kapur,7,32.57361072764426,0.8872008068011655,0.9449795887752812,0.01557498629739795,0.9988725326553752,0.00022165333517764095,0.921811759707311,0.015283560910617762,450
